Klient: /127.0.0.1 55576 Wynik: 4 Odpowiedzi: A, , A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55756 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55802 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55659 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55762 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55743 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55660 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55663 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55763 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55744 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55749 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55645 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55753 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55809 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55757 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55773 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55679 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55770 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55777 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55779 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55782 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55781 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55774 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55778 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55794 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55690 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55810 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55813 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55649 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55804 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55765 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55682 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55808 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55767 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55814 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55786 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55793 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55797 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55775 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55783 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55801 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55664 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55674 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55791 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55788 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55795 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55803 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55683 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55662 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55799 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55785 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55811 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55776 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55806 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55815 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55787 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55792 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55796 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55805 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55768 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55771 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55772 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55812 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55780 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55816 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55784 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55800 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55876 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55877 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55879 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55875 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55878 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55972 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55973 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55975 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55977 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55974 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55892 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55924 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55988 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55918 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55912 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55911 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55915 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55907 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55899 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55887 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55908 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55890 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55903 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55896 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55900 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55886 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55904 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55888 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55895 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55883 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55882 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55987 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55880 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55984 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55985 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55983 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55981 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55982 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55979 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55980 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55978 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55926 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55976 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56076 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56077 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56075 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56072 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56074 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56070 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56073 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56071 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56069 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56068 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56066 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56067 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56063 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56065 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56064 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56058 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56062 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56061 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56060 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56059 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56057 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56055 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56056 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56054 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56053 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56048 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56052 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56050 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56049 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56051 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56047 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56044 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56046 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56045 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56036 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56040 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56043 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56041 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56042 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56038 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56035 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56037 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56039 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56033 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56034 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56030 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56032 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56031 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56028 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56029 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56026 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56027 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56025 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56021 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56022 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56023 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
